country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,7.19,,,,,,,,,16.4,,,,,,,,,,12.8,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,5.26,,,4.32,3.07,3.98,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,2.63,2,,,,0.0883,,0.126,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,,,,,,,9.82,,,12,12.9,12.9,13.2,14.8,14.3,16.2,16.5,17.3,,18.2,19.8,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,17.2,18,,,,,,,,21.3,21.1,21.1,,,,,,25,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,46.6,47.3,46.6,,47.2,51.1,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,,,,,,21.1,24.4,23.4,24.2,25.2,27.3,24.1,24.4,24.3,27.5,24.2,28.6,28.3,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,28.6,29.8,30,31.4,31.8,33.1,35,36,36.8,35.8
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,13.1,13.5,14.3,14.8,15.4,16,16.6,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,15.7,15.7,15.7,15.7,15.7,15.7,15.7,,16.2,17.7,17.7
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,0.91,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542,0.499,0.499,30.3,31.3,31.7,32.2,34.7,35.3,35.3,36.7,38.5,39.4,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,0,3.54,,3.06,4.79,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2.15,2.12,,2.4,1.99,2.29
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69,5.87,5.5,5.85,8.24,8.51,8.98,9.36,9.76,,9.79,7.57,
Bulgaria,,,,,,5.49,,,,,,,,,,,,,,,,,15,,,,,,,,,18.1,,,,,19.5,19.8,20.2,20.5,20.7,20.8,21.5,22.9,24.1,24.5,24.6,24.7,25.1,25.2,26.1,26.3,26.4,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48,,,,,,14.3,14.3,21.6,,23.3,,29.8,29.6
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,15.2,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,6.17,,,7.83,7.55,8.38,7.19,7.75,7,10.6,11.7,12.3,11.3
Belarus,5.35,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,28.3,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72,,,,,2.57,,,,6.69,7.88,4.45,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,31.1,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,12.9,14.8,13,22.3,13.5,14.2,14.3,24.7,26.8,16.3,16.9,17.9
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,15.7,16.5,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,14.9,,,14,14.3,17.5,15.5,15.9,17.6,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,,,,10.2,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19,8.34,8.84,9.52,9.65
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,24.1,24.8,25.4,25.7,26.6,25.8,27.9,28.5,29.8,31,29.3,32.4,32.9
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,35.5,36.6,37.9,39,39.6,40.4,40.1,40,41.3
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,10.4,12.5,11.7,13.4,13.1,13.9,14.6,15.6,15.9,19.1,19.6,20.3,21.5
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,,,,,,,,,,7.68,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,2.6,,,3.45,,,5.23,,4.98,4.77,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,6.42,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,1.74,,,3.48,,7.41,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69,9.96,9.19,9.47,9.52,9.47,10.1,10.5,10.3,10.9,,11.8,12.1,12.8,,16.2,16.5
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,,,,,,,3.31,14.1,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,21.3,20.6,,21.3,,21.6,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36,,,,,,,,,,14.2,,,,,,,15.3,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,29.9,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,26,25.6,26.6,27.2,28.6,28.9,29.8,31.8,33.2,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,3.59,4.13,4.42,18.8,19.3,20.1,20.7,21,20.9,21.4,22.8,21,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,1.22,1.24,1.24,24.2,24.7,25.6,25.9,25.1,27,28.4,29,29.2,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.06,,,,,,
Dominica,1.1,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,5.03,,,,,,,,,,,,,,,,,,,,6.84,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,0.57,0.602,0.678,29,30.4,31,29.7,32.4,31.1,33.1,32.5,32.7,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,18.1,11.7,12.7,14.4,12.9,12.9,17.7,18.7
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,,,11.4,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,9.78,9.97,10.3,9.62,10.9,11.5,10.4,12.1,11.7,12.2,,,11.9,12.4,12.1,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,,,0,0,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506,0.566,0.582,0.568,20.4,20.5,20.9,21.4,21.9,23,23.6,24.6,24.7,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,29.8,30.4,31.7,33.6,33.5,30.9,31.7,32.7,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,,1.33,,,,,6.29,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945,0.988,21.1,21.9,22.5,23,25.4,24.3,27.8,25.9,30.9,28.2,28.8,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,,,5.17,,,,10,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,17.7,17.4,18,19.2,19.7,21,22.9,22.6,24.4
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,
UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.02,1.06,28.4,29.3,25.1,26.1,33.9,27.9,29,37.3,39.6,35.9,37.1
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32.3,30.2,33.1,30.9,34.7,32.9,34,34.8,33.7,33.2,34.2,34,34.5
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,,,5.41,,4.73,,3.49,,,,,6.23,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,2.81,,,,4.43,,7.17,,6.21,22.7,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,1.4,,1.88,,,9.05
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.21,,,2.7,
Greece,,,,,,,,,,,,7.6,,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,22.2,22.9,20.1,23.6,24.2,24.4,26,28.2,28.9,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,5.99,6.12,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,2.37,6.89,3.78,,,,4.32,,,5.69,4.16
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,4.47,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,,,4.53,5.12,4.25,4.92,6.27,9.35,10.5,5.93,9.58,9.63,,,,
